dates,gender,0
2018-02-01,female,7526
2018-02-01,male,26922
2018-02-01,unknown,1113
2018-02-02,female,5236
2018-02-02,male,20344
2018-02-02,unknown,733
2018-02-03,female,4307
2018-02-03,male,13245
2018-02-03,unknown,833
2018-02-04,female,3378
2018-02-04,male,9974
2018-02-04,unknown,607
2018-02-05,female,6053
2018-02-05,male,22088
2018-02-05,unknown,927
2018-02-06,female,7130
2018-02-06,male,26021
2018-02-06,unknown,951
2018-02-07,female,2769
2018-02-07,male,12192
2018-02-07,unknown,328
2018-02-08,female,6453
2018-02-08,male,24246
2018-02-08,unknown,865
2018-02-09,female,6400
2018-02-09,male,24170
2018-02-09,unknown,997
2018-02-10,female,3935
2018-02-10,male,11461
2018-02-10,unknown,928
2018-02-11,female,1799
2018-02-11,male,6658
2018-02-11,unknown,352
2018-02-12,female,7183
2018-02-12,male,26526
2018-02-12,unknown,1430
2018-02-13,female,7276
2018-02-13,male,26616
2018-02-13,unknown,1297
2018-02-14,female,8389
2018-02-14,male,29637
2018-02-14,unknown,1565
2018-02-15,female,9697
2018-02-15,male,32627
2018-02-15,unknown,1869
2018-02-16,female,5867
2018-02-16,male,22066
2018-02-16,unknown,1258
2018-02-17,female,4276
2018-02-17,male,12152
2018-02-17,unknown,1493
2018-02-18,female,5050
2018-02-18,male,14091
2018-02-18,unknown,2397
2018-02-19,female,5755
2018-02-19,male,18182
2018-02-19,unknown,1740
2018-02-20,female,9542
2018-02-20,male,32198
2018-02-20,unknown,2740
2018-02-21,female,11704
2018-02-21,male,37153
2018-02-21,unknown,4258
2018-02-22,female,5464
2018-02-22,male,20617
2018-02-22,unknown,929
2018-02-23,female,5134
2018-02-23,male,19713
2018-02-23,unknown,787
2018-02-24,female,6001
2018-02-24,male,17257
2018-02-24,unknown,2292
2018-02-25,female,3502
2018-02-25,male,11854
2018-02-25,unknown,794
2018-02-26,female,9262
2018-02-26,male,31472
2018-02-26,unknown,1836
2018-02-27,female,10765
2018-02-27,male,35355
2018-02-27,unknown,2396
2018-02-28,female,11413
2018-02-28,male,36912
2018-02-28,unknown,2384
2018-03-01,female,9992
2018-03-01,male,33411
2018-03-01,unknown,2161
2018-03-02,female,1073
2018-03-02,male,5612
2018-03-02,unknown,170
2018-03-03,female,6762
2018-03-03,male,19435
2018-03-03,unknown,2167
2018-03-04,female,6060
2018-03-04,male,17106
2018-03-04,unknown,2096
2018-03-05,female,7806
2018-03-05,male,27366
2018-03-05,unknown,1602
2018-03-06,female,9146
2018-03-06,male,31582
2018-03-06,unknown,1961
2018-03-07,female,1539
2018-03-07,male,6461
2018-03-07,unknown,188
2018-03-08,female,5730
2018-03-08,male,21804
2018-03-08,unknown,906
2018-03-09,female,7423
2018-03-09,male,26198
2018-03-09,unknown,1291
2018-03-10,female,6139
2018-03-10,male,17475
2018-03-10,unknown,1830
2018-03-11,female,6835
2018-03-11,male,17792
2018-03-11,unknown,2970
2018-03-12,female,7791
2018-03-12,male,27053
2018-03-12,unknown,1496
2018-03-13,female,4670
2018-03-13,male,17774
2018-03-13,unknown,693
2018-03-14,female,7344
2018-03-14,male,26834
2018-03-14,unknown,1199
2018-03-15,female,8527
2018-03-15,male,29401
2018-03-15,unknown,1646
2018-03-16,female,7107
2018-03-16,male,26208
2018-03-16,unknown,1606
2018-03-17,female,6739
2018-03-17,male,18478
2018-03-17,unknown,2455
2018-03-18,female,5911
2018-03-18,male,16862
2018-03-18,unknown,2385
2018-03-19,female,8553
2018-03-19,male,28598
2018-03-19,unknown,2127
2018-03-20,female,7457
2018-03-20,male,26837
2018-03-20,unknown,1238
2018-03-21,female,606
2018-03-21,male,3070
2018-03-21,unknown,79
2018-03-22,female,5559
2018-03-22,male,20808
2018-03-22,unknown,941
2018-03-23,female,8092
2018-03-23,male,28623
2018-03-23,unknown,1813
2018-03-24,female,8190
2018-03-24,male,22223
2018-03-24,unknown,3985
2018-03-25,female,6264
2018-03-25,male,17239
2018-03-25,unknown,2059
2018-03-26,female,8654
2018-03-26,male,29437
2018-03-26,unknown,2204
2018-03-27,female,8941
2018-03-27,male,30515
2018-03-27,unknown,1898
2018-03-28,female,9025
2018-03-28,male,31365
2018-03-28,unknown,2130
2018-03-29,female,8138
2018-03-29,male,29107
2018-03-29,unknown,2048
2018-03-30,female,7170
2018-03-30,male,24762
2018-03-30,unknown,2855
2018-03-31,female,9444
2018-03-31,male,23097
2018-03-31,unknown,9253
2018-04-01,female,7231
2018-04-01,male,18746
2018-04-01,unknown,7172
2018-04-02,female,4337
2018-04-02,male,16501
2018-04-02,unknown,1225
2018-04-03,female,5177
2018-04-03,male,19846
2018-04-03,unknown,858
2018-04-04,female,7417
2018-04-04,male,27504
2018-04-04,unknown,1832
2018-04-05,female,7898
2018-04-05,male,29084
2018-04-05,unknown,2832
2018-04-06,female,7410
2018-04-06,male,26036
2018-04-06,unknown,2178
2018-04-07,female,7818
2018-04-07,male,21621
2018-04-07,unknown,3806
2018-04-08,female,6801
2018-04-08,male,18749
2018-04-08,unknown,2860
2018-04-09,female,8748
2018-04-09,male,29718
2018-04-09,unknown,2043
2018-04-10,female,9573
2018-04-10,male,31870
2018-04-10,unknown,1608
2018-04-11,female,10713
2018-04-11,male,35311
2018-04-11,unknown,2588
2018-04-12,female,11664
2018-04-12,male,38472
2018-04-12,unknown,3032
2018-04-13,female,14051
2018-04-13,male,42932
2018-04-13,unknown,6527
2018-04-14,female,14834
2018-04-14,male,33752
2018-04-14,unknown,14011
2018-04-15,female,4980
2018-04-15,male,13778
2018-04-15,unknown,1682
2018-04-16,female,5565
2018-04-16,male,19498
2018-04-16,unknown,1226
2018-04-17,female,9755
2018-04-17,male,32970
2018-04-17,unknown,1964
2018-04-18,female,11169
2018-04-18,male,37128
2018-04-18,unknown,2813
2018-04-19,female,8149
2018-04-19,male,28730
2018-04-19,unknown,1419
2018-04-20,female,10070
2018-04-20,male,33798
2018-04-20,unknown,3184
2018-04-21,female,18321
2018-04-21,male,36790
2018-04-21,unknown,8488
2018-04-22,female,13555
2018-04-22,male,30724
2018-04-22,unknown,10005
2018-04-23,female,12939
2018-04-23,male,39993
2018-04-23,unknown,4835
2018-04-24,female,13342
2018-04-24,male,41277
2018-04-24,unknown,3908
2018-04-25,female,6636
2018-04-25,male,23407
2018-04-25,unknown,1171
2018-04-26,female,15037
2018-04-26,male,45233
2018-04-26,unknown,5807
2018-04-27,female,7951
2018-04-27,male,28993
2018-04-27,unknown,2210
2018-04-28,female,13457
2018-04-28,male,31571
2018-04-28,unknown,11717
2018-04-29,female,10624
2018-04-29,male,26186
2018-04-29,unknown,8027
2018-04-30,female,8608
2018-04-30,male,29966
2018-04-30,unknown,2501
2019-02-01,female,4712
2019-02-01,male,19692
2019-02-01,unknown,578
2019-02-02,female,4923
2019-02-02,male,16186
2019-02-02,unknown,893
2019-02-03,female,7754
2019-02-03,male,22248
2019-02-03,unknown,1932
2019-02-04,female,10261
2019-02-04,male,34232
2019-02-04,unknown,1883
2019-02-05,female,12256
2019-02-05,male,39492
2019-02-05,unknown,2413
2019-02-06,female,8485
2019-02-06,male,29429
2019-02-06,unknown,1301
2019-02-07,female,9200
2019-02-07,male,32646
2019-02-07,unknown,1331
2019-02-08,female,7378
2019-02-08,male,27879
2019-02-08,unknown,1197
2019-02-09,female,5566
2019-02-09,male,17201
2019-02-09,unknown,998
2019-02-10,female,5723
2019-02-10,male,17205
2019-02-10,unknown,1203
2019-02-11,female,8170
2019-02-11,male,29363
2019-02-11,unknown,1103
2019-02-12,female,3024
2019-02-12,male,12488
2019-02-12,unknown,342
2019-02-13,female,6937
2019-02-13,male,27166
2019-02-13,unknown,838
2019-02-14,female,8836
2019-02-14,male,31468
2019-02-14,unknown,1346
2019-02-15,female,9990
2019-02-15,male,34932
2019-02-15,unknown,1941
2019-02-16,female,7434
2019-02-16,male,21002
2019-02-16,unknown,2598
2019-02-17,female,5714
2019-02-17,male,16385
2019-02-17,unknown,1938
2019-02-18,female,5784
2019-02-18,male,18896
2019-02-18,unknown,1147
2019-02-19,female,7144
2019-02-19,male,26520
2019-02-19,unknown,1012
2019-02-20,female,3959
2019-02-20,male,15946
2019-02-20,unknown,521
2019-02-21,female,8149
2019-02-21,male,29837
2019-02-21,unknown,1513
2019-02-22,female,8773
2019-02-22,male,31329
2019-02-22,unknown,1692
2019-02-23,female,7614
2019-02-23,male,22138
2019-02-23,unknown,1856
2019-02-24,female,5754
2019-02-24,male,17297
2019-02-24,unknown,1221
2019-02-25,female,6914
2019-02-25,male,26282
2019-02-25,unknown,1020
2019-02-26,female,7692
2019-02-26,male,28801
2019-02-26,unknown,1023
2019-02-27,female,7516
2019-02-27,male,28088
2019-02-27,unknown,871
2019-02-28,female,7850
2019-02-28,male,29316
2019-02-28,unknown,1057
2019-03-01,female,5868
2019-03-01,male,23421
2019-03-01,unknown,944
2019-03-02,female,3793
2019-03-02,male,13375
2019-03-02,unknown,833
2019-03-03,female,5653
2019-03-03,male,16218
2019-03-03,unknown,1368
2019-03-04,female,5582
2019-03-04,male,21723
2019-03-04,unknown,1116
2019-03-05,female,7612
2019-03-05,male,28349
2019-03-05,unknown,1136
2019-03-06,female,6611
2019-03-06,male,25786
2019-03-06,unknown,882
2019-03-07,female,7198
2019-03-07,male,27750
2019-03-07,unknown,959
2019-03-08,female,8104
2019-03-08,male,30948
2019-03-08,unknown,1354
2019-03-09,female,9385
2019-03-09,male,26479
2019-03-09,unknown,3064
2019-03-10,female,4092
2019-03-10,male,14040
2019-03-10,unknown,765
2019-03-11,female,11323
2019-03-11,male,38744
2019-03-11,unknown,2346
2019-03-12,female,9966
2019-03-12,male,35630
2019-03-12,unknown,1611
2019-03-13,female,10644
2019-03-13,male,37556
2019-03-13,unknown,1920
2019-03-14,female,12299
2019-03-14,male,42737
2019-03-14,unknown,2430
2019-03-15,female,12651
2019-03-15,male,41665
2019-03-15,unknown,3190
2019-03-16,female,10235
2019-03-16,male,28088
2019-03-16,unknown,3815
2019-03-17,female,9239
2019-03-17,male,24604
2019-03-17,unknown,2981
2019-03-18,female,10114
2019-03-18,male,34464
2019-03-18,unknown,1954
2019-03-19,female,11559
2019-03-19,male,39049
2019-03-19,unknown,2373
2019-03-20,female,12156
2019-03-20,male,40765
2019-03-20,unknown,2458
2019-03-21,female,3902
2019-03-21,male,16785
2019-03-21,unknown,551
2019-03-22,female,7208
2019-03-22,male,26959
2019-03-22,unknown,1296
2019-03-23,female,8864
2019-03-23,male,25711
2019-03-23,unknown,2800
2019-03-24,female,12880
2019-03-24,male,31890
2019-03-24,unknown,5542
2019-03-25,female,11807
2019-03-25,male,39268
2019-03-25,unknown,2376
2019-03-26,female,12332
2019-03-26,male,40848
2019-03-26,unknown,2234
2019-03-27,female,12045
2019-03-27,male,40185
2019-03-27,unknown,2243
2019-03-28,female,12924
2019-03-28,male,42974
2019-03-28,unknown,2631
2019-03-29,female,13066
2019-03-29,male,43171
2019-03-29,unknown,3070
2019-03-30,female,16954
2019-03-30,male,40803
2019-03-30,unknown,8905
2019-03-31,female,7714
2019-03-31,male,22618
2019-03-31,unknown,2430
2019-04-01,female,11107
2019-04-01,male,38217
2019-04-01,unknown,2067
2019-04-02,female,12822
2019-04-02,male,42981
2019-04-02,unknown,2088
2019-04-03,female,15221
2019-04-03,male,49332
2019-04-03,unknown,3358
2019-04-04,female,14715
2019-04-04,male,48480
2019-04-04,unknown,3201
2019-04-05,female,7074
2019-04-05,male,26263
2019-04-05,unknown,1122
2019-04-06,female,16603
2019-04-06,male,40363
2019-04-06,unknown,9563
2019-04-07,female,16425
2019-04-07,male,39692
2019-04-07,unknown,8592
2019-04-08,female,16171
2019-04-08,male,49835
2019-04-08,unknown,4494
2019-04-09,female,13056
2019-04-09,male,43782
2019-04-09,unknown,2489
2019-04-10,female,16344
