dates,tripduration
2018-02-01,678.9992126205675
2018-02-02,654.315509444001
2018-02-03,742.198966548817
2018-02-04,670.2912816104306
2018-02-05,722.2323861290766
2018-02-06,687.3100697906281
2018-02-07,635.2981228334096
2018-02-08,1043.297300722342
2018-02-09,696.6390217632338
2018-02-10,900.4060279343298
2018-02-11,684.1867408332388
2018-02-12,1091.6454936110874
2018-02-13,667.9763278297195
2018-02-14,807.6611351064636
2018-02-15,727.9697010838821
2018-02-16,718.1824877530746
2018-02-17,910.5736845042129
2018-02-18,1029.1915683907512
2018-02-19,769.9439576274486
2018-02-20,1044.5724145683453
2018-02-21,1821.7468699990586
2018-02-22,665.6175120325805
2018-02-23,761.8188733713038
2018-02-24,855.6583953033268
2018-02-25,1179.6374613003095
2018-02-26,742.7729621799389
2018-02-27,852.6990271250721
2018-02-28,901.6894634088624
2018-03-01,834.0173382494952
2018-03-02,807.1371261852662
2018-03-03,982.3565787618107
2018-03-04,799.7999762489114
2018-03-05,702.8435851416762
2018-03-06,791.297711354213
2018-03-07,621.0801172447484
2018-03-08,677.3943741209564
2018-03-09,779.0053276810265
2018-03-10,893.7652884766546
2018-03-11,1481.3720331920135
2018-03-12,801.3653824986241
2018-03-13,662.8910403250205
2018-03-14,685.8125053000537
2018-03-15,1311.294258856825
2018-03-16,723.6685375561983
2018-03-17,1073.6252891008962
2018-03-18,862.5284998807537
2018-03-19,763.4473242018432
2018-03-20,689.5223741979061
2018-03-21,731.580292942743
2018-03-22,709.2391240662078
2018-03-23,806.0185060215947
2018-03-24,1243.8291761148903
2018-03-25,778.4517252171191
2018-03-26,766.0587914133267
2018-03-27,730.7232915800164
2018-03-28,752.3864534336783
2018-03-29,965.3737052401191
2018-03-30,831.7652283899158
2018-03-31,1613.661003971862
2018-04-01,1289.811728860599
2018-04-02,983.8652948375108
2018-04-03,643.3141686951818
2018-04-04,729.2733382308927
2018-04-05,802.6850856482645
2018-04-06,788.3872108690771
2018-04-07,862.6431944653332
2018-04-08,896.4843013023583
2018-04-09,715.535954972969
2018-04-10,692.04682818053
2018-04-11,749.0280589154942
2018-04-12,815.9296193198917
2018-04-13,1444.776476145489
2018-04-14,1374.518890681662
2018-04-15,738.4461350293542
2018-04-16,819.6127277568564
2018-04-17,705.4722862449372
2018-04-18,791.7353551164156
2018-04-19,680.1337145542848
2018-04-20,960.0071622885318
2018-04-21,1410.2071887922766
2018-04-22,1274.416457888144
2018-04-23,1006.0734329288348
2018-04-24,893.6276761152972
2018-04-25,1037.187768309092
2018-04-26,998.2555957443589
2018-04-27,739.7289165857894
2018-04-28,1265.9741475019825
2018-04-29,1122.0903940941632
2018-04-30,789.7360438222763
2019-02-01,853.4855896245297
2019-02-02,758.8377420234524
2019-02-03,911.24278198785
2019-02-04,885.3874633431085
2019-02-05,930.8883144698215
2019-02-06,750.3117174550555
2019-02-07,719.9686870324479
2019-02-08,808.4475777692435
2019-02-09,831.9424784346728
2019-02-10,903.7603083171025
2019-02-11,781.0661559167615
2019-02-12,710.4016651949034
2019-02-13,767.2178243324461
2019-02-14,765.8360864345739
2019-02-15,878.7484796107804
2019-02-16,1028.452149255655
2019-02-17,971.0059075591796
2019-02-18,772.3401866263987
2019-02-19,744.6809897335332
2019-02-20,739.4505532164887
2019-02-21,787.1961821818273
2019-02-22,784.9320237354644
2019-02-23,849.2261769172361
2019-02-24,812.3138183915623
2019-02-25,701.7367605798457
2019-02-26,700.2706311973558
2019-02-27,679.9150102810144
2019-02-28,689.3215864793449
2019-03-01,830.3958257533159
2019-03-02,847.5403033164824
2019-03-03,874.2290546064805
2019-03-04,808.5018120403927
2019-03-05,685.9740410275764
2019-03-06,708.0494305718321
2019-03-07,677.3163171526444
2019-03-08,714.7389744097411
2019-03-09,1072.2828555281546
